material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-661,AlN,4.054000000000001,0,False,"[608626, 608627, 602460, 190420, 44107, 54697, 161881, 82790, 602459, 191772, 183638, 185441, 42001, 34475, 44106, 608624, 41480, 163953, 31169, 181362, 34236, 41482, 67767, 41542]"
mp-29909,Ba4I6O,3.9788999999999994,0,False,[280584]
mp-23260,BaI2,3.4431000000000003,0,False,"[24366, 15707]"
mp-18337,Be3N2,3.3129,0,False,"[616348, 412667]"
mp-2542,BeO,7.4597999999999995,0,False,"[601160, 20703, 62726, 62729, 62733, 61181, 77373, 62737, 62736, 62727, 15620, 34237, 62735, 616377, 29271, 163468, 34238, 290880, 41485, 62731, 31072, 62728, 56144, 31825, 62730, 62738, 62734, 163819, 62732, 162675, 62534, 391224]"
mp-2605,CaO,3.6447000000000003,0,False,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]"
mp-571222,CsBr,4.2579,0,False,[61516]
mp-573697,CsCl,4.8492,0,False,"[52274, 61515]"
mp-614603,CsI,3.8571999999999997,0,False,[61517]
mp-1188344,CsLiCl2,5.115,0,False,[423634]
mp-2345,Dy2O3,3.9251000000000005,0,False,"[630047, 82421, 630042, 61269, 248579, 184538, 185242, 248578, 185606, 96208, 27994, 180837, 41269, 66736]"
mp-679,Er2O3,3.964,0,False,"[39185, 55832, 39187, 53406, 39521, 94888, 180843, 96210, 33656, 184540, 39189, 630890, 630897, 186592, 39190, 39186, 39188, 27992, 27774]"
mp-812,Ho2O3,3.9497999999999998,0,False,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]"
mp-23193,KCl,5.027,0,False,"[240508, 240509, 240513, 240528, 240526, 162799, 240502, 240505, 240520, 240529, 22156, 52242, 53825, 240527, 240511, 240519, 187219, 18014, 240507, 240524, 240525, 154214, 28938, 240506, 240503, 240522, 240515, 240521, 240523, 240518, 240504, 240530, 44281, 240510, 240512, 165593, 240516, 53841]"
mp-22898,KI,3.8512999999999997,0,False,"[53843, 44283, 52244, 22158, 53827]"
mp-2292,La2O3,3.532,0,False,"[641600, 184531, 641602, 96201]"
mp-4511,La2SO2,3.079699999999999,0,False,"[31640, 31614, 260145, 154583, 14280]"
mp-14871,Li16Ta2N8O,3.4034000000000004,0,False,[71696]
mp-9610,Li2CN2,3.7195,0,False,[200369]
mp-1960,Li2O,4.9168,0,False,"[57411, 642216, 22402, 173193, 180569, 54368, 642219, 173206, 60431, 173180]"
mp-1153,Li2S,3.4112,0,False,"[642291, 54396, 657596, 642297, 60432, 657597, 56023]"
mp-5001,Li3BN2,3.3710999999999998,0,False,"[41022, 155129]"
mp-1020016,Li4Ca2Mg(SiN3)2,3.3032,0,False,[427077]
mp-772185,Li6Hf2O7,4.4135,0,True,[]
mp-3503,Li6WN4,3.059,0,False,"[153620, 66096]"
mp-14827,Li7NbN4,3.3328999999999995,0,False,[71547]
mp-14753,Li7TaN4,3.3409999999999997,0,False,[67560]
mp-4604,Li7VN4,3.0111999999999997,0,False,"[409501, 96940]"
mp-976280,LiBr,4.9350000000000005,0,True,[]
mp-1185319,LiCl,5.9282,0,True,[]
mp-976726,LiDyO2,4.566,0,False,[422562]
mp-10970,LiErO2,4.103599999999999,0,False,[95380]
mp-1138,LiF,8.7164,0,False,"[52234, 18012, 53839, 44879, 41409, 62361, 44272, 181799]"
mp-21332,LiGdO2,3.2815999999999996,0,False,"[27769, 422561]"
mp-23703,LiH,3.018,0,False,"[638265, 638263, 44748, 61751, 173192, 61749, 61754, 61752, 26874, 638266, 173177, 173178, 26873, 157495, 173205, 168789, 61750, 187680, 28557, 61753, 187681, 56066, 53975, 603869]"
mp-12645,LiHoO2,4.0263,0,False,[109172]
mp-570935,LiI,4.3818,0,False,[414242]
mp-754605,LiLuO2,4.5008,0,True,[]
mp-5840,LiScO2,3.904,0,False,"[36124, 31316]"
mp-7137,LiTbO2,4.5474,0,False,[21013]
mp-754237,LiTmO2,4.3153,0,True,[]
mp-7020,LiYO2,4.108199999999999,0,False,[45511]
mp-1427,Lu2O3,4.0233,0,False,"[193361, 194467, 428543, 642475, 151762, 40471, 642477, 96211, 33659, 168341]"
mp-1045,Nd2O3,3.708,0,False,"[191535, 645662, 96204, 645664, 645657, 184534]"
mp-16705,Pr2O3,3.6593000000000004,0,False,"[647301, 184533, 647290, 96203]"
mp-22867,RbBr,4.1927,0,False,"[44286, 53830, 18017, 22167, 53845]"
mp-23295,RbCl,4.8393,0,False,"[18016, 22166, 53829, 61538, 162798, 23761, 44285, 53844]"
mp-22903,RbI,3.777,0,False,"[53831, 61536, 22168, 44287, 53846]"
mp-218,Sm2O3,3.7823,0,False,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]"
mp-569782,Sr2LiCBr3N2,3.9744000000000006,0,False,[415051]
mp-567744,SrBr2,4.4697000000000005,0,False,[15972]
mp-12317,SrCN2,3.2177999999999995,0,True,[]
mp-981,SrF2,6.7528,0,False,"[41402, 181245, 248432, 40414, 260881, 168800, 262348, 248431]"
mp-1056,Tb2O3,3.9006,0,False,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]"
mp-643,ThO2,4.424999999999999,0,False,"[28778, 647528, 647527, 61585, 246706, 105550, 647529, 647530, 647523, 77691, 647525, 61586, 77690, 601173, 647531, 236586, 647524, 53999, 28685]"
mp-1767,Tm2O3,3.9804000000000004,0,False,"[647578, 33657, 78582, 184541, 90669, 61270, 647581]"
mp-972256,Xe,6.1671,0,True,[]
mp-2652,Y2O3,4.055999999999999,0,False,"[193377, 237970, 193375, 193376, 193374, 187274, 41936, 160890, 290965, 86814, 81861, 66242, 85355, 82420, 290963, 16394, 86817, 78581, 186675, 153500, 193042, 181871, 155173, 184530, 185295, 23811, 290961, 26190, 27772, 647653, 181825, 80033, 86815, 77081, 86813, 151761, 66730, 33648, 66243, 41267, 151760, 290960, 192862, 290964]"
mp-865934,YbF2,6.734500000000001,0,True,[]
mp-1216,YbO,3.4728000000000003,0,False,"[77710, 151764]"
